"Role","Variable Type","Variable Level","Variable Format","Variable Length","Variable Label","Type","Name",
"INPUT","double","INTERVAL","","8","","N","day",
"INPUT","double","BINARY","","8","","N","is_exam",
"INPUT","double","BINARY","","8","","N","is_holiday",
"INPUT","double","BINARY","","8","","N","is_semester",
"INPUT","double","INTERVAL","","8","","N","lib_avg_consumption",
"INPUT","double","INTERVAL","","8","","N","mean_temp",
"INPUT","double","INTERVAL","","8","","N","mixed_avg_consumption",
"INPUT","double","NOMINAL","","8","","N","month",
"INPUT","double","INTERVAL","","8","","N","off_avg_consumption",
"INPUT","double","INTERVAL","","8","","N","tea_avg_consumption",
"INPUT","double","NOMINAL","","8","","N","year",
